Sl. No.,State/UT,State / UT - wise Total Number of Persons Injured in Road Accidents during - 2021,State / UT - wise Total Number of Persons Injured in Road Accidents during - 2022,State / UT - wise Total Number of Persons Injured in Road Accidents during - 2023,State / UT - wise Total Number of Persons Injured in Road Accidents during - 2024 - Number,State / UT - wise Total Number of Persons Injured in Road Accidents during - 2024 - Rank,Share of States / UTs in Total Number of Persons Injured in Road Accidents - 2021,Share of States / UTs in Total Number of Persons Injured in Road Accidents - 2022,Share of States / UTs in Total Number of Persons Injured in Road Accidents - 2023,Share of States / UTs in Total Number of Persons Injured in Road Accidents - 2024,Total Number of Persons Injured in Road Accidents Per Lakh Population - 2021,Total Number of Persons Injured in Road Accidents Per Lakh Population - 2022,Total Number of Persons Injured in Road Accidents Per Lakh Population - 2023,Total Number of Persons Injured in Road Accidents Per Lakh Population - 2024,"Total Number of Persons injured in Road Accidents per 10,000 Vehicles - 2022","Total Number of Persons injured in Road Accidents per 10,000 Km of Roads - 2022 (P)"
1,Andhra Pradesh,21040,21340,20409,19894,9,5.5,4.8,4.4,4.2,39.9,40.3,38.4,37.3,14.3,1103.2
2,Arunachal Pradesh,347,186,257,204,30,0.1,0.0,0.1,0.0,22.6,12.0,16.5,12.9,5.1,35.0
3,Assam,5763,5637,5917,7129,16,1.5,1.3,1.3,1.5,16.4,15.9,16.6,19.8,12.5,112.5
4,Bihar,7946,7068,6539,7090,17,2.1,1.6,1.4,1.5,6.5,5.7,5.2,5.5,6.0,233.9
5,Chhattisgarh,10683,11695,11723,12484,12,2.8,2.6,2.5,2.6,36.2,39.2,38.8,40.9,15.0,1032.2
6,Goa,843,1091,1178,1041,24,0.2,0.2,0.3,0.2,54.1,69.6,74.8,65.8,9.6,555.9
7,Gujarat,13690,15089,15383,14940,10,3.6,3.4,3.3,3.2,19.6,21.4,21.5,20.6,5.2,563.7
8,Haryana,8121,8519,8346,7914,14,2.1,1.9,1.8,1.7,27.5,28.5,27.6,25.9,9.9,1381.3
9,Himachal Pradesh,3454,4063,3304,3226,21,0.9,0.9,0.7,0.7,46.7,54.7,44.2,43.0,23.7,599.0
10,Jharkhand,3227,3747,3585,3266,20,0.8,0.8,0.8,0.7,8.4,9.6,9.1,8.2,5.9,438.5
11,Karnataka,40754,48154,52547,52591,4,10.6,10.9,11.4,11.2,61.0,71.6,77.6,77.2,16.9,1232.3
12,Kerala,36775,49307,54320,54796,3,9.6,11.1,11.7,11.6,103.6,138.4,151.8,152.6,31.7,1896.2
13,Madhya Pradesh,48956,55168,55769,58202,2,12.7,12.4,12.0,12.3,57.9,64.5,64.4,66.4,31.8,1467.8
14,Maharashtra,23071,27239,29764,30535,6,6.0,6.1,6.4,6.5,18.5,21.7,23.6,24.0,6.6,435.8
15,Manipur,504,817,634,462,26,0.1,0.2,0.1,0.1,15.9,25.6,19.7,14.2,22.6,249.2
16,Meghalaya,263,310,259,228,29,0.1,0.1,0.1,0.0,8.0,9.3,7.7,6.7,7.0,56.9
17,Mizoram,65,107,116,129,35,0.0,0.0,0.0,0.0,5.3,8.7,9.4,10.3,3.4,53.8
18,Nagaland,380,291,257,178,31,0.1,0.1,0.1,0.0,17.3,13.1,11.5,7.9,5.2,76.4
19,Odisha,9782,10302,10369,10770,13,2.5,2.3,2.2,2.3,21.4,22.4,22.4,23.1,10.1,332.3
20,Punjab,3072,3324,3206,3333,19,0.8,0.7,0.7,0.7,10.1,10.9,10.4,10.8,2.7,218.6
21,Rajasthan,19344,22293,23041,22927,8,5.0,5.0,5.0,4.9,24.4,27.8,28.4,28.0,13.0,778.7
22,Sikkim,244,354,362,264,28,0.1,0.1,0.1,0.1,36.0,51.8,52.5,38.0,40.7,280.2
23,Tamil Nadu,55996,67703,72292,71493,1,14.6,15.3,15.6,15.2,73.3,88.3,94.1,92.7,19.3,2393.0
24,Telangana,20107,20209,21022,23658,7,5.2,4.6,4.5,5.0,53.3,53.3,55.2,61.8,14.8,1416.0
25,Tripura,547,541,609,622,25,0.1,0.1,0.1,0.1,13.4,13.2,14.7,14.9,8.3,189.3
26,Uttarakhand,1091,1613,1488,1547,23,0.3,0.4,0.3,0.3,9.6,14.0,12.8,13.2,5.3,244.4
27,Uttar Pradesh,24897,28541,31098,34665,5,6.5,6.4,6.7,7.4,10.8,12.2,13.2,14.6,7.2,565.8
28,West Bengal,10454,12843,12615,12518,11,2.7,2.9,2.7,2.7,10.7,13.0,12.7,12.6,10.0,448.4
29,Andaman and Nicobar Islands,97,136,154,139,32,0.0,0.0,0.0,0.0,24.3,33.8,38.2,34.4,8.5,712.4
30,Chandigarh,172,203,171,133,34,0.0,0.0,0.0,0.0,14.2,16.7,13.9,10.7,1.8,678.1
31,Dadra and Nagar Haveli and Daman and Diu,171,273,233,136,33,0.0,0.1,0.1,0.0,15.9,23.3,18.4,10.0,8.7,1872.4
32,Delhi,4273,5201,5470,5224,18,1.1,1.2,1.2,1.1,20.8,24.8,25.6,24.0,3.8,2914.5
33,Jammu and Kashmir,6972,8372,8469,7820,15,1.8,1.9,1.8,1.7,52.0,62.0,62.3,57.1,37.7,685.4
34,Ladakh,242,346,340,323,27,NA,0.1,0.1,0.1,NA,115.7,113.3,107.0,NA,566.9
35,Lakshadweep,6,2,1,0,36,0.0,0.0,0.1,0.1,8.8,2.9,1.4,0.0,0.8,89.8
36,Puducherry,1099,1282,1578,1560,22,0.3,0.3,0.3,0.3,70.0,79.7,95.9,92.7,10.1,2288.7
Total,Total,384448,443366,462825,471441,NA,100.0,100.0,100.0,100.0,28.2,32.2,33.3,33.7,12.5,778.8
